group,GX,GY,GZ,AX,AY,AZ
screwdriver,-25.63,24.72,39.25,0.49,-0.75,0.53
handdriver,-2.14,86.36,5.43,-0.14,-0.11,1.12
screwdriver,-48.16,358.83,30.64,-0.19,-1.02,-0.06
screwdriver,-60.3,93.81,-9.58,0.77,-0.85,0.66
screwdriver,-14.1,-27.65,13.92,0.44,-0.43,0.55
screwdriver,-4.58,-29.66,-10.5,0.76,-0.94,0.66
handdriver,6.9,-19.29,2.69,-0.57,-0.15,0.95
screwdriver,31.13,-43.76,27.34,0.5,-0.53,0.91
handdriver,-6.59,1.46,-0.43,-0.33,-0.18,0.91
screwdriver,21.73,-52.98,-7.93,0.37,-0.7,0.64
handdriver,34.67,-172.91,15.44,-0.89,-0.18,0.72
handdriver,24.72,-188.23,9.4,-0.62,-0.06,0.74
screwdriver,-17.64,109.68,-9.52,0.77,-0.76,0.34
handdriver,36.07,-371.09,-15.26,-1.15,-0.0,0.17
screwdriver,-103.39,130.31,-36.44,0.8,-0.79,0.56
screwdriver,23.32,-32.9,-2.08,0.3,-0.76,0.66
screwdriver,10.44,-132.63,28.14,0.12,-0.65,0.87
handdriver,-12.08,77.94,8.24,-0.72,-0.34,0.87
handdriver,13.85,-33.75,4.64,-0.67,-0.01,0.59
handdriver,4.15,-21.61,1.83,-0.91,-0.1,0.72
screwdriver,43.52,-279.36,-31.49,0.52,-0.68,0.5
screwdriver,58.35,-96.31,21.97,0.41,-0.67,0.61
handdriver,22.77,-333.25,0.92,-0.98,-0.08,0.27
handdriver,11.11,-14.89,1.95,-0.49,-0.04,0.76
screwdriver,45.65,-416.63,3.6,0.92,-0.94,-0.07
handdriver,-19.35,262.57,2.99,-0.85,-0.12,0.7
handdriver,-54.57,111.27,-19.17,-0.54,-0.24,0.82
screwdriver,19.78,-122.01,-3.97,0.44,-0.77,0.09
handdriver,9.46,-23.38,10.99,-0.66,-0.13,0.88
handdriver,-2.87,44.86,10.93,-0.95,-0.16,0.84
handdriver,18.01,-54.69,14.83,-1.27,-0.0,0.26
handdriver,-43.64,288.09,6.35,-0.56,-0.11,0.67
screwdriver,10.8,-86.85,38.27,0.42,-0.63,0.45
handdriver,-19.65,-11.84,4.58,-0.33,-0.08,0.91
screwdriver,-15.26,49.56,25.02,0.57,-0.57,0.4
handdriver,31.86,-478.58,-22.16,-0.69,-0.11,0.31
screwdriver,-15.63,0.06,42.91,-1.43,-0.96,-0.05
handdriver,-5.8,31.49,-1.16,-0.55,-0.06,0.88
handdriver,-6.71,13.49,9.7,-0.22,-0.07,0.92
handdriver,-32.71,38.21,6.65,-1.61,-0.2,0.52
handdriver,-30.15,24.41,5.49,-0.5,-0.03,0.88
handdriver,9.64,-106.99,0.98,-0.82,-0.08,0.65
handdriver,24.54,-105.04,9.03,-0.66,0.03,0.86
handdriver,0.12,13.49,-0.85,-0.57,-0.11,0.93
screwdriver,51.21,-114.07,-9.64,0.92,-0.72,0.28
screwdriver,18.92,-183.41,14.59,-0.14,-0.68,0.82
handdriver,-23.99,31.74,-0.73,-0.41,-0.07,0.72
handdriver,-21.18,90.58,-5.0,-0.4,-0.28,0.86
handdriver,8.36,-37.54,14.34,-0.55,-0.12,0.84
screwdriver,-74.4,54.08,10.62,0.61,-0.88,0.09
screwdriver,33.51,5.92,-12.27,0.71,-0.72,0.71
screwdriver,-44.56,131.1,-22.71,0.68,-0.95,0.62
handdriver,1.89,-183.59,-5.86,-0.08,-0.01,0.83
screwdriver,-62.81,279.17,20.32,0.8,-0.6,0.09
screwdriver,7.51,-278.26,80.38,-0.01,-1.13,0.37
handdriver,9.83,-121.15,13.31,-0.47,-0.06,0.84
screwdriver,-3.36,17.33,-3.78,0.64,-0.41,0.51
handdriver,17.94,-560.36,-8.12,-0.85,-0.12,0.18
screwdriver,-18.43,83.07,51.27,0.19,-0.81,0.36
handdriver,22.64,-20.75,13.98,-0.6,-0.14,0.88
handdriver,7.39,-87.1,4.82,-0.58,0.02,0.84
handdriver,-23.25,155.52,7.45,-0.46,-0.1,0.75
screwdriver,12.21,-10.8,3.23,0.42,-0.78,0.6
handdriver,31.25,-83.56,26.73,-1.04,-0.05,0.84
handdriver,34.61,-40.22,18.01,-1.05,-0.05,0.73
handdriver,28.32,-142.58,1.83,-0.77,-0.08,0.83
screwdriver,46.75,-47.24,-18.92,0.61,-0.93,0.81
handdriver,-19.41,186.65,5.49,-1.48,-0.13,0.23
screwdriver,30.58,-106.02,41.99,0.68,-0.46,0.88
handdriver,21.18,-122.38,0.43,-1.01,-0.08,0.53
handdriver,-24.6,53.53,2.5,-1.28,-0.25,0.57
screwdriver,-29.72,381.59,-32.59,-0.22,-1.08,0.79
screwdriver,15.87,-58.41,8.36,0.34,-0.91,0.46
handdriver,-5.31,98.82,-3.78,-0.44,-0.06,0.77
handdriver,-11.54,61.65,-17.21,-0.36,-0.32,0.89
handdriver,-25.51,168.46,25.09,-0.72,-0.18,0.6
screwdriver,86.91,-29.79,41.56,-0.11,-0.69,0.54
handdriver,-27.4,67.99,-2.44,-0.48,-0.26,0.95
screwdriver,-40.89,354.0,38.94,-0.29,-1.03,-0.08
handdriver,-4.46,-162.78,2.99,-0.01,0.15,0.91
handdriver,-48.71,325.93,26.49,-0.12,-0.15,0.68
handdriver,-17.58,22.16,3.97,-0.13,-0.1,0.9
handdriver,-12.88,70.31,0.79,-0.26,0.05,0.93
handdriver,-8.85,54.75,15.44,-0.59,-0.03,1.01
handdriver,-18.37,17.03,7.51,-1.4,-0.21,0.33
screwdriver,16.17,-439.45,-16.05,0.32,-0.85,-0.08
handdriver,-17.64,139.1,14.16,-0.02,-0.26,0.9
handdriver,18.62,-94.24,16.05,-1.37,0.03,0.36
handdriver,10.86,-77.21,23.86,-0.65,-0.19,0.83
screwdriver,1.59,-27.95,23.74,-0.0,-0.88,0.59
screwdriver,30.64,-95.28,-4.15,0.97,-0.76,0.11
screwdriver,-16.78,28.5,-9.89,0.34,-0.39,0.1
handdriver,17.09,-534.79,-41.26,-0.55,-0.12,0.54
handdriver,-32.65,151.49,-1.04,-0.67,-0.12,0.77
handdriver,8.36,-48.95,9.28,-0.59,-0.07,0.83
screwdriver,-2.99,63.48,-3.85,0.39,-0.69,0.39
screwdriver,40.1,-45.53,22.58,-0.9,-0.95,0.39
screwdriver,12.27,-62.44,-19.41,0.71,-0.72,0.17
handdriver,28.56,-169.62,10.07,-1.33,0.07,0.36
screwdriver,-7.26,-52.55,19.96,-0.33,-0.8,0.83
handdriver,7.87,5.31,9.09,-1.28,-0.2,0.54
screwdriver,-12.7,-272.28,90.58,-0.43,-1.12,0.42
screwdriver,0.79,-76.97,30.82,0.38,-0.77,0.72
screwdriver,-39.73,74.22,-30.64,0.59,-0.77,0.71
screwdriver,-34.42,183.23,47.36,0.09,-1.0,0.46
screwdriver,38.21,-646.42,43.76,0.46,-1.01,-0.07
handdriver,-5.43,-30.15,-4.21,-1.39,-0.26,0.66
screwdriver,-46.51,321.59,-54.81,-0.13,-1.08,1.12
screwdriver,-79.04,194.64,-6.9,0.32,-0.55,0.62
screwdriver,20.87,-89.48,23.62,0.42,-0.4,0.7
handdriver,-8.3,64.27,9.09,-1.11,-0.2,0.62
handdriver,17.76,-36.99,13.49,-0.6,-0.22,0.98
handdriver,3.23,-108.89,0.31,-0.25,0.03,0.81
screwdriver,-18.49,187.87,39.49,-0.16,-0.99,0.02
handdriver,-7.39,-20.63,-2.99,-0.28,-0.11,0.92
handdriver,-39.43,364.01,-2.44,-0.99,-0.05,0.48
screwdriver,37.11,-214.78,34.97,0.08,-0.64,0.8
handdriver,-30.15,229.61,15.38,-1.24,-0.15,0.42
handdriver,17.15,59.88,11.96,-1.35,-0.16,0.54
handdriver,-34.91,216.13,18.62,-0.56,-0.06,0.88
handdriver,-19.29,56.76,7.57,-0.22,0.0,0.74
handdriver,-14.28,80.69,9.28,-0.64,-0.15,0.78
handdriver,-38.33,570.37,28.08,-0.45,-0.22,0.59
screwdriver,-48.16,463.07,-19.17,0.02,-0.55,0.62
handdriver,-15.81,9.46,-0.12,-1.39,-0.22,0.5
handdriver,-33.69,620.06,23.56,-0.65,-0.22,0.4
screwdriver,27.95,-219.3,-12.76,0.88,-0.86,0.05
handdriver,29.36,-106.99,5.19,-0.82,-0.09,0.75
handdriver,15.87,-56.27,17.4,-0.27,-0.2,1.07
screwdriver,11.17,-49.8,9.34,0.17,-0.65,0.86
handdriver,-42.11,158.69,7.32,-1.02,-0.09,0.49
handdriver,8.67,-57.01,-3.11,-0.73,-0.06,0.8
handdriver,-22.89,212.89,-13.24,-0.39,-0.16,0.86
screwdriver,-13.92,99.3,-8.97,0.17,-0.73,0.42
handdriver,-2.93,18.01,6.59,-0.6,-0.07,0.77
screwdriver,-23.93,141.91,-17.09,0.4,-0.68,0.17
handdriver,-27.59,99.12,8.18,-0.44,-0.22,0.74
handdriver,-4.46,296.63,13.79,-0.87,-0.13,0.4
handdriver,27.1,-62.74,12.08,-0.58,-0.02,0.85
handdriver,7.2,-50.35,7.63,-0.66,-0.07,0.61
screwdriver,1.53,-96.62,37.35,-0.1,-0.88,0.56
handdriver,-21.97,79.96,0.43,-0.34,-0.22,0.88
handdriver,23.25,-161.32,6.23,-0.97,-0.17,0.57
screwdriver,11.17,-82.03,45.1,0.28,-0.41,0.78
screwdriver,32.29,-13.24,3.97,0.1,-0.63,0.94
handdriver,-24.9,229.31,8.79,-0.53,-0.16,0.6
screwdriver,-45.23,99.85,-0.12,0.0,-0.88,1.0
screwdriver,-5.49,-7.93,-0.18,0.59,-0.66,0.41
screwdriver,6.96,-207.15,37.96,0.15,-0.78,0.96
handdriver,16.42,-202.58,-1.04,-0.36,0.02,0.84
handdriver,-38.82,513.85,7.39,-1.35,-0.18,0.08
handdriver,13.06,-147.71,14.83,-0.81,-0.11,0.7
screwdriver,1.65,97.29,-32.59,0.6,-0.9,0.45
handdriver,17.15,-37.23,14.65,-0.59,-0.38,1.05
handdriver,-2.26,90.27,23.68,-1.51,-0.1,0.38
handdriver,18.13,-115.72,-2.69,-0.96,-0.12,0.48
screwdriver,-8.36,287.9,-35.22,-0.08,-0.73,0.75
screwdriver,70.07,-136.17,44.74,0.27,-0.7,0.71
handdriver,20.45,-154.66,8.36,-0.79,-0.05,0.72
