group,GX,GY,GZ,AX,AY,AZ
handdriver,27.65,-120.61,24.41,-1.16,-0.06,0.43
handdriver,-19.78,40.34,2.44,-0.57,-0.14,0.65
screwdriver,27.16,-52.73,-13.18,0.94,-0.8,0.17
screwdriver,-70.5,500.92,-16.48,0.62,-0.72,0.41
handdriver,27.4,-223.94,4.33,-0.67,-0.05,0.79
handdriver,17.64,-306.52,6.96,-0.82,-0.11,0.66
screwdriver,-35.1,-36.32,-23.32,1.07,-0.77,0.15
screwdriver,-1.89,-6.04,29.54,0.54,-0.7,0.18
screwdriver,25.09,-320.92,10.68,-0.07,-0.68,0.68
handdriver,12.39,-3.42,11.72,-0.28,-0.16,1.04
handdriver,6.96,-104.98,-6.71,-0.72,-0.17,0.79
screwdriver,-17.09,-71.11,26.18,0.4,-0.75,0.24
handdriver,34.55,-391.91,-23.19,-0.74,-0.14,0.59
screwdriver,-27.47,36.87,5.07,0.25,-0.89,0.4
screwdriver,23.56,-289.86,16.17,0.64,-0.49,0.46
screwdriver,-16.42,7.81,41.02,0.37,-0.62,0.25
screwdriver,-10.01,5.74,16.91,0.41,-0.56,0.67
screwdriver,-113.77,589.11,18.25,0.74,-0.97,0.01
screwdriver,21.42,-96.56,16.36,0.63,-0.67,0.19
screwdriver,-6.96,105.59,-3.42,0.43,-0.78,0.24
handdriver,30.94,-288.21,-25.15,-0.52,-0.09,0.67
handdriver,-8.24,-71.66,-1.1,-0.35,-0.06,0.87
handdriver,-16.85,446.66,0.55,-0.98,-0.12,0.41
handdriver,-20.87,11.17,2.14,-0.75,-0.04,0.68
handdriver,19.71,-249.02,-1.83,-0.95,-0.03,0.6
handdriver,-43.58,622.92,12.02,-1.38,-0.13,-0.38
handdriver,-4.15,284.61,4.03,-0.06,-0.17,0.8
handdriver,17.21,-131.53,4.15,-0.35,-0.13,0.77
handdriver,-3.66,-145.45,15.87,-0.56,-0.03,0.75
screwdriver,37.9,-464.29,-10.8,0.26,-0.77,0.53
handdriver,1.53,32.17,4.03,-0.29,-0.01,0.92
handdriver,11.6,-19.59,9.34,-0.53,-0.1,0.99
handdriver,-15.32,300.35,-7.08,-0.31,-0.2,0.68
screwdriver,-28.26,141.97,-6.71,0.65,-1.05,0.62
handdriver,1.71,-61.1,1.28,-0.57,-0.07,0.76
screwdriver,-10.13,-119.26,44.31,0.87,-0.56,0.5
handdriver,-7.14,-15.26,-3.85,-0.65,-0.14,0.7
handdriver,-8.79,-19.41,6.47,-0.7,-0.15,0.74
screwdriver,-88.38,456.12,-104.61,1.71,-0.69,0.67
handdriver,-0.98,-34.79,6.47,-0.67,-0.13,0.86
handdriver,-23.19,65.43,-2.62,-0.61,-0.11,0.69
handdriver,12.63,-22.03,13.31,-0.79,-0.13,0.81
screwdriver,-17.15,27.95,10.31,0.71,-0.78,0.45
screwdriver,-2.2,19.84,20.26,0.92,-0.55,0.25
handdriver,-35.58,321.11,11.11,-0.59,-0.12,0.63
screwdriver,-4.27,-9.03,27.59,0.54,-0.72,0.32
screwdriver,10.25,-198.67,50.17,0.68,-0.82,0.35
handdriver,10.86,-39.49,4.15,-0.96,-0.14,0.52
screwdriver,-78.49,278.2,-27.89,1.19,-0.48,0.84
screwdriver,-0.98,-57.62,13.73,0.28,-0.93,0.53
screwdriver,-38.33,350.4,-2.75,-0.25,-0.73,0.81
screwdriver,41.56,-2.69,38.39,0.12,-0.74,0.39
handdriver,11.84,-2.26,8.12,-1.08,-0.23,0.63
screwdriver,39.43,-125.61,-6.53,0.59,-0.83,0.19
screwdriver,19.23,-256.71,-18.55,0.04,-0.83,0.54
screwdriver,23.62,38.94,4.09,-0.18,-0.6,0.49
handdriver,-26.61,120.48,15.32,-0.38,-0.07,0.85
screwdriver,38.21,-165.95,36.99,0.34,-0.55,1.03
screwdriver,-4.39,-32.78,37.9,0.45,-0.62,0.38
screwdriver,-55.85,149.78,-78.55,0.85,-0.65,0.65
screwdriver,35.28,-92.83,-21.24,0.97,-0.74,0.32
screwdriver,40.53,-111.02,-9.09,0.84,-0.7,0.19
screwdriver,38.82,-115.72,24.11,0.43,-0.79,0.32
screwdriver,55.24,-56.09,-7.45,0.33,-0.73,0.49
screwdriver,4.7,4.39,-6.1,0.57,-0.65,0.33
handdriver,22.34,-233.34,-2.62,-0.92,-0.09,0.74
screwdriver,42.24,-93.38,43.33,0.5,-0.33,0.76
handdriver,-2.14,-28.08,7.02,-0.84,-0.07,0.8
screwdriver,17.88,-73.06,8.85,0.42,-0.77,0.37
screwdriver,78.19,-24.9,5.0,0.69,-0.76,0.65
handdriver,3.17,7.81,6.77,-0.63,-0.11,0.92
handdriver,1.1,32.96,10.68,-1.13,-0.3,0.58
screwdriver,59.69,-110.96,9.7,0.7,-0.86,0.26
screwdriver,84.66,-184.57,5.43,0.43,-0.87,0.48
handdriver,-20.14,190.61,13.67,-0.63,-0.11,0.76
screwdriver,-112.37,514.47,-72.69,0.29,-0.89,0.19
screwdriver,47.3,-267.58,1.77,0.59,-0.69,0.27
handdriver,39.49,-108.28,-5.49,-1.95,-0.11,-0.3
handdriver,-2.08,-38.45,-0.12,-1.29,-0.18,0.55
handdriver,15.93,-83.07,9.28,-0.96,-0.1,0.58
handdriver,28.56,-125.06,15.14,-0.86,-0.08,0.61
handdriver,-10.56,-376.16,4.15,-1.08,-0.07,0.29
handdriver,-48.71,242.07,0.73,-1.06,-0.26,0.31
handdriver,18.37,-23.38,5.49,-1.51,-0.01,-0.15
handdriver,-15.81,123.96,6.9,-0.69,-0.14,0.68
screwdriver,-13.06,43.7,3.85,0.51,-0.69,0.32
screwdriver,31.56,-117.31,18.31,0.64,-0.91,0.96
screwdriver,-2.44,-69.82,-9.77,0.78,-0.62,0.58
handdriver,43.88,-119.26,17.15,-0.46,-0.03,0.82
handdriver,18.8,-355.53,2.32,-0.55,-0.09,0.55
screwdriver,3.54,104.86,-36.25,0.45,-0.88,0.36
handdriver,23.19,-104.31,3.54,-0.59,-0.04,0.7
handdriver,18.07,-8.36,26.55,-0.3,-0.28,1.13
handdriver,1.95,5.55,3.91,-0.54,-0.06,0.84
screwdriver,-33.81,177.98,10.5,1.33,-0.81,0.47
handdriver,-24.23,88.44,1.22,-0.22,-0.27,0.9
screwdriver,-8.42,712.59,9.4,0.28,-0.91,0.68
screwdriver,-71.66,249.27,5.19,2.06,-1.19,0.38
handdriver,1.71,-83.13,-0.12,-0.84,-0.07,0.85
handdriver,37.48,-246.83,4.03,-1.23,-0.07,0.23
handdriver,-39.18,208.74,12.45,-1.05,0.02,0.46
handdriver,-0.12,35.89,-0.61,-1.11,-0.27,0.5
screwdriver,-40.53,50.23,-43.4,0.7,-0.83,0.55
handdriver,-4.7,11.17,17.58,-0.63,-0.18,0.92
handdriver,5.86,138.12,9.22,-1.14,-0.1,0.32
handdriver,-72.45,276.61,-0.85,-0.76,-0.3,0.42
handdriver,-2.5,24.17,1.4,-0.73,0.02,0.82
screwdriver,12.15,-124.33,9.89,0.36,-0.74,0.29
screwdriver,-29.54,134.52,-3.91,0.7,-0.53,0.7
handdriver,28.44,-95.46,3.6,-0.81,-0.04,0.83
screwdriver,-22.83,211.18,-22.09,0.62,-0.51,0.69
handdriver,1.04,-7.26,10.68,-0.52,-0.17,0.99
screwdriver,23.32,-478.45,-21.06,-0.21,-0.79,0.12
handdriver,23.68,-0.43,16.91,-0.51,-0.15,0.84
screwdriver,7.14,-245.42,13.55,0.12,-0.86,0.23
handdriver,-42.42,546.51,-5.37,-0.96,-0.17,0.04
handdriver,-21.12,102.29,0.49,-0.5,-0.08,0.62
handdriver,-6.35,7.81,4.88,-0.76,-0.11,0.79
handdriver,-23.68,81.42,-23.86,-0.16,-0.19,0.74
handdriver,-21.55,98.21,-18.19,-0.58,0.0,0.78
screwdriver,-40.53,110.35,-26.25,1.11,-1.07,0.6
handdriver,0.0,265.87,2.56,-1.03,-0.09,0.53
screwdriver,3.11,-40.95,4.15,-0.06,-0.64,0.88
handdriver,20.32,-302.25,-4.46,-1.68,-0.03,-0.02
screwdriver,-17.27,85.39,12.33,-0.85,-1.12,0.21
handdriver,-22.34,200.07,-3.05,-0.68,-0.32,0.9
screwdriver,-34.97,25.82,16.91,0.86,-0.61,0.33
screwdriver,-25.39,97.53,43.21,0.09,-0.84,0.48
screwdriver,1.22,-97.84,-7.93,-0.17,-0.85,0.72
handdriver,-50.6,285.16,7.87,-1.47,-0.21,0.55
screwdriver,-6.1,22.52,15.93,-0.5,-0.73,0.71
handdriver,-19.47,289.98,13.85,-1.08,-0.11,0.57
handdriver,-26.12,29.97,2.01,-0.62,-0.18,0.86
handdriver,-9.83,17.09,11.72,-0.56,-0.11,0.8
handdriver,16.17,-337.59,-3.97,-0.16,0.05,0.77
handdriver,13.0,-25.51,14.77,-0.83,-0.16,0.73
handdriver,10.93,-3.6,-1.83,-0.48,-0.09,0.78
handdriver,14.71,-121.7,-3.66,-0.54,-0.09,0.85
screwdriver,-13.43,-21.06,27.77,0.72,-0.65,0.17
screwdriver,-11.6,67.69,40.59,0.08,-0.88,0.54
handdriver,13.12,-29.36,7.26,-0.58,-0.12,0.91
screwdriver,7.63,1.65,30.46,0.41,-0.66,0.51
screwdriver,33.2,-68.91,-13.61,0.43,-0.81,0.3
handdriver,9.64,5.74,0.92,-0.71,-0.1,0.66
screwdriver,-0.61,277.89,-9.22,0.9,-0.59,0.99
screwdriver,23.68,-254.58,12.21,0.34,-0.62,0.74
screwdriver,-45.96,141.54,-38.94,0.65,-0.65,-0.03
screwdriver,-44.31,-96.56,24.96,-0.38,-0.99,0.19
handdriver,6.84,-52.8,-5.86,-0.31,-0.08,0.74
handdriver,-26.12,171.02,16.91,-0.5,-0.04,0.75
screwdriver,-21.85,8.0,25.39,0.2,-0.69,0.68
screwdriver,-6.9,70.43,-20.45,-0.34,-0.71,0.85
handdriver,-21.67,358.15,3.6,-1.41,-0.18,-0.13
handdriver,-21.79,192.75,-3.85,-0.68,-0.12,0.85
handdriver,-28.26,74.22,-4.76,-0.86,-0.24,0.73
handdriver,-8.18,3.85,5.37,-0.12,-0.2,0.99
handdriver,-20.51,134.77,-0.24,0.19,-0.27,0.91
screwdriver,49.99,22.71,31.43,0.39,-0.71,0.55
handdriver,3.36,-45.23,5.0,-0.34,-0.08,0.86
handdriver,12.45,-62.74,13.92,-0.45,-0.08,1.02
handdriver,-0.92,-51.03,10.56,-0.75,-0.16,0.8
screwdriver,-36.32,178.65,14.59,0.89,-0.33,0.32
screwdriver,-48.58,356.2,-45.41,0.5,-0.37,0.75
screwdriver,-0.37,-141.6,8.97,0.36,-0.84,0.31
screwdriver,-1.59,-20.26,18.13,0.53,-0.62,0.5
handdriver,-15.5,58.65,11.78,-0.31,-0.05,0.77
handdriver,-15.87,52.55,5.8,-0.43,-0.13,0.86
screwdriver,46.08,-147.4,-21.61,0.42,-0.74,-0.09
screwdriver,33.63,-234.13,1.22,0.57,-0.53,0.7
screwdriver,3.36,-222.29,9.03,-0.72,-0.89,0.81
screwdriver,-11.11,53.53,-33.02,0.8,-0.8,0.83
screwdriver,23.62,-89.29,19.23,0.03,-0.75,0.99
screwdriver,-126.89,198.43,-90.33,1.6,-0.93,1.02
handdriver,1.28,-14.1,11.29,-0.54,-0.16,0.94
screwdriver,31.31,-328.98,71.17,-0.02,-1.0,0.46
handdriver,10.31,-250.49,-10.38,-0.44,-0.04,0.67
handdriver,-9.28,574.1,17.46,-0.56,-0.23,0.38
screwdriver,-22.16,191.65,-7.93,0.67,-0.57,0.59
screwdriver,-15.01,358.22,1.95,0.37,-0.71,0.61
screwdriver,-38.82,42.54,9.4,1.03,-0.75,0.72
screwdriver,142.09,-249.57,-22.58,0.33,-0.95,-0.03
screwdriver,-27.04,-143.19,19.71,0.28,-0.83,0.34
screwdriver,20.26,-23.56,5.86,0.47,-0.77,0.23
handdriver,-2.87,-39.18,9.09,-0.63,-0.11,0.84
screwdriver,84.59,-140.56,11.17,0.77,-0.87,-0.0
screwdriver,19.35,-107.18,12.02,0.35,-0.43,0.6
screwdriver,25.63,-43.03,7.69,0.6,-0.53,0.66
handdriver,-35.64,227.42,3.05,-0.82,-0.41,0.77
screwdriver,28.02,-100.1,26.25,0.28,-0.48,0.68
handdriver,-22.95,316.47,23.99,-1.64,-0.2,0.23
handdriver,-16.72,60.12,-4.76,-0.14,-0.32,0.94
handdriver,0.67,-35.71,3.17,-0.52,-0.09,0.9
screwdriver,21.42,-73.79,38.33,0.18,-0.69,0.55
handdriver,-1.34,-1.83,3.17,-0.55,-0.09,0.85
screwdriver,-1.95,-11.41,6.35,0.34,-0.76,0.63
screwdriver,-43.4,137.7,-37.05,0.88,-0.42,0.72
handdriver,-4.52,87.77,15.69,-0.9,-0.21,0.75
screwdriver,46.88,-41.5,26.06,0.62,-0.33,0.82
screwdriver,28.5,15.69,-12.45,0.66,-0.87,0.25
screwdriver,71.84,-134.95,38.57,0.33,-0.97,0.42
screwdriver,-45.04,174.74,3.66,0.14,-0.85,0.37
handdriver,-38.02,402.53,10.25,-0.7,-0.11,0.6
screwdriver,4.46,-5.74,25.21,0.49,-0.65,0.44
screwdriver,6.47,10.13,-6.96,0.72,-0.67,0.27
handdriver,-0.67,0.79,9.7,-0.72,-0.28,0.8
screwdriver,-40.71,628.66,4.03,0.45,-0.61,0.75
screwdriver,-21.85,135.56,23.44,0.53,-0.52,0.55
screwdriver,5.19,-112.98,9.7,-0.24,-0.69,0.87
handdriver,7.02,-63.23,6.23,-0.66,-0.16,0.94
screwdriver,-28.14,-1.77,29.36,0.56,-0.89,0.46
screwdriver,29.97,-109.19,55.97,0.62,-0.47,0.84
screwdriver,16.36,-46.39,13.0,0.24,-0.68,0.85
screwdriver,28.99,-269.35,26.31,0.5,-0.42,0.52
screwdriver,129.46,-410.28,-13.0,1.4,-0.99,0.03
screwdriver,20.51,-54.44,53.28,0.43,-0.51,0.92
handdriver,-0.92,-8.97,7.57,-0.51,-0.2,0.88
screwdriver,-12.57,-294.8,1.34,0.0,-1.06,0.24
handdriver,0.12,-107.42,26.25,-0.63,-0.25,0.74
handdriver,33.26,-300.6,13.12,-1.5,-0.06,-0.12
handdriver,6.84,20.45,7.69,-0.7,-0.13,0.77
handdriver,-13.12,7.63,-1.71,-0.28,-0.16,0.91
handdriver,5.55,-7.63,-1.95,0.12,-0.14,1.1
screwdriver,-47.49,414.31,-35.16,-0.41,-0.88,0.74
screwdriver,30.09,-268.31,8.24,0.67,-0.49,0.62
handdriver,-2.93,-29.91,19.41,-0.73,-0.18,0.79
handdriver,-17.15,-9.22,4.46,-0.44,-0.18,0.97
handdriver,10.31,-160.83,-15.5,-0.79,-0.13,0.74
handdriver,19.96,-85.39,9.16,-1.42,-0.12,0.5
screwdriver,-8.79,-49.5,35.52,0.06,-0.89,0.57
screwdriver,44.31,-407.47,1.46,0.32,-0.46,0.57
screwdriver,-35.64,39.73,14.83,1.01,-0.94,0.93
handdriver,-2.14,-168.88,23.93,-0.22,-0.02,0.86
handdriver,-0.92,-90.09,-0.18,-0.27,-0.11,0.83
handdriver,-26.67,120.3,10.8,-0.42,-0.1,0.95
handdriver,-4.03,15.2,-2.69,-0.7,-0.04,0.64
handdriver,-23.74,-4.94,-5.8,-0.43,-0.15,0.85
screwdriver,10.93,-117.0,2.26,0.65,-0.86,0.07
screwdriver,23.62,-24.35,36.32,0.74,-0.74,0.3
screwdriver,-22.16,493.59,-10.44,-0.04,-0.42,0.62
handdriver,-5.86,-220.52,21.12,-0.96,-0.05,0.48
handdriver,-8.18,14.95,-10.31,-0.59,-0.1,0.54
handdriver,23.99,-154.79,5.92,-0.69,-0.2,0.85
handdriver,35.16,-219.42,5.19,-1.01,0.07,0.71
screwdriver,-43.64,424.93,-63.42,0.99,-0.96,0.97
handdriver,-14.89,16.11,3.17,-0.77,-0.16,0.69
screwdriver,-23.01,-273.07,86.85,-0.12,-0.77,0.19
screwdriver,5.0,-53.41,41.14,0.21,-0.94,0.25
screwdriver,-7.57,101.99,15.38,0.7,-0.79,0.45
handdriver,8.91,-147.22,5.13,-0.64,-0.04,0.68
handdriver,-10.86,24.6,-1.34,-0.13,-0.17,0.9
handdriver,1.59,-315.98,16.85,-0.49,-0.17,0.85
screwdriver,-113.34,301.03,-84.78,1.32,-0.65,1.01
screwdriver,7.69,1.22,7.51,0.81,-0.74,0.44
handdriver,4.94,-12.15,10.13,-0.57,-0.16,0.92
screwdriver,21.91,75.44,25.15,0.26,-1.02,0.78
handdriver,-6.16,122.07,-3.11,-1.83,-0.23,0.0
screwdriver,-48.95,281.8,2.99,-0.27,-1.16,0.63
screwdriver,-7.57,-15.26,11.96,0.61,-0.67,0.41
screwdriver,-1.28,-80.2,30.03,0.16,-0.71,0.82
handdriver,-44.92,679.5,17.7,-0.21,-0.27,0.54
screwdriver,9.64,-80.2,-25.88,-0.84,-0.94,0.29
handdriver,-10.74,18.19,-2.01,-0.39,-0.04,0.81
screwdriver,-21.61,-28.69,-10.62,0.45,-0.89,0.66
screwdriver,163.39,-296.33,-48.71,0.45,-0.84,0.08
screwdriver,-9.09,-101.2,51.94,-0.44,-0.91,0.72
handdriver,-22.64,12.94,7.32,-0.22,-0.2,0.92
handdriver,31.37,-24.96,0.79,-0.26,-0.0,0.99
screwdriver,-37.29,404.91,4.7,0.63,-0.86,0.63
handdriver,4.33,-114.75,2.62,-0.21,-0.04,0.77
handdriver,13.98,-75.32,11.11,-0.45,0.08,1.0
handdriver,5.07,-58.53,13.98,-1.0,-0.13,0.62
handdriver,13.79,-457.82,-22.89,-1.1,-0.0,0.31
handdriver,12.21,-28.08,23.5,-0.6,-0.08,0.75
screwdriver,-10.68,29.91,12.27,0.96,-0.84,0.46
screwdriver,-39.25,-125.18,42.36,-0.29,-0.87,0.46
screwdriver,-22.58,27.47,-23.32,0.93,-0.72,0.09
handdriver,-28.2,178.77,23.68,-0.35,-0.14,0.85
handdriver,-7.93,14.83,6.53,-0.77,0.03,0.73
screwdriver,51.51,-179.38,-12.51,0.65,-0.81,-0.12
handdriver,14.34,-87.28,11.05,-0.44,-0.09,1.05
screwdriver,5.37,204.83,-4.03,-0.2,-0.82,0.53
handdriver,23.01,-47.18,14.34,-0.84,-0.35,0.79
screwdriver,-23.93,634.28,49.87,0.79,-0.95,0.58
handdriver,23.25,-136.54,2.93,-0.63,-0.1,0.7
handdriver,10.25,-30.82,10.74,-0.28,-0.22,1.01
handdriver,-4.52,66.83,7.02,-0.98,-0.17,0.86
screwdriver,-37.66,-268.49,11.96,0.23,-0.81,0.13
handdriver,-26.98,231.38,1.04,-0.92,-0.15,0.64
screwdriver,-4.09,69.46,27.34,0.22,-0.72,0.54
handdriver,9.16,-27.4,7.93,-0.73,-0.12,0.78
handdriver,-10.93,-81.12,-2.5,-0.37,-0.17,0.95
screwdriver,-13.79,85.63,22.34,0.87,-0.72,0.52
handdriver,3.72,-18.43,10.93,-1.17,-0.46,0.64
handdriver,-17.33,41.99,-7.51,-0.59,-0.11,0.57
handdriver,-1.95,-45.17,2.81,-0.6,-0.12,0.83
screwdriver,-2.99,-38.39,22.09,0.57,-0.49,0.64
handdriver,29.11,-137.45,0.92,-1.03,-0.1,0.61
handdriver,-7.14,-11.05,0.06,-0.85,-0.48,0.82
handdriver,-16.6,-312.81,-10.01,0.05,-0.02,0.82
handdriver,8.48,-76.48,10.07,-0.5,-0.26,1.12
handdriver,-12.51,-26.49,2.01,-0.36,-0.19,0.81
handdriver,6.04,-248.6,20.87,-0.66,-0.15,0.85
screwdriver,-3.66,36.32,-17.09,0.5,-0.77,0.33
screwdriver,-116.21,158.33,-24.11,1.2,-0.8,0.48
handdriver,6.16,-19.1,2.2,-0.21,-0.16,1.02
screwdriver,-25.39,133.61,19.9,0.69,-0.82,0.06
handdriver,29.17,-301.76,2.5,-0.38,-0.02,0.55
handdriver,40.47,-246.22,-4.7,-1.07,-0.01,0.05
handdriver,20.51,-234.86,-11.96,-0.88,-0.01,0.62
screwdriver,0.31,102.78,-12.27,0.29,-0.59,0.3
screwdriver,16.36,-36.8,16.36,0.35,-0.98,0.39
handdriver,-5.86,22.52,5.37,-0.38,-0.24,1.03
screwdriver,-73.18,727.54,-12.57,-0.7,-1.07,0.52
screwdriver,83.37,-297.06,-36.56,0.45,-0.91,-0.19
handdriver,18.62,-256.71,12.39,-0.39,0.09,0.89
screwdriver,-1.77,-72.75,27.16,0.62,-0.67,0.31
handdriver,-9.7,96.19,2.38,-0.8,-0.06,0.68
handdriver,-12.88,132.87,-1.28,-2.21,-0.3,-0.17
handdriver,17.7,-101.26,10.68,-0.87,-0.0,0.7
handdriver,-17.33,66.71,1.34,-0.54,0.0,0.76
screwdriver,30.76,-223.63,11.17,0.74,-0.49,0.63
screwdriver,-56.4,-119.45,-21.06,2.9,-1.77,1.18
screwdriver,6.65,-194.21,3.97,0.54,-0.85,0.14
screwdriver,55.54,-6.96,13.73,0.54,-0.69,0.2
screwdriver,30.7,-59.88,17.94,0.66,-0.73,0.69
screwdriver,19.04,-86.91,-0.49,0.66,-0.8,0.48
screwdriver,38.51,-5.62,-0.06,0.26,-0.83,0.09
handdriver,6.29,-13.31,0.37,-0.66,-0.18,0.97
screwdriver,24.23,148.32,-24.6,-0.4,-0.82,0.82
handdriver,-14.71,215.52,-12.76,-0.15,-0.13,0.88
screwdriver,27.65,-44.92,1.04,0.58,-0.86,0.84
handdriver,7.57,-59.75,5.86,-0.36,-0.02,0.69
handdriver,16.48,-90.94,10.8,-0.71,0.05,0.93
screwdriver,-13.18,-15.5,4.39,0.15,-0.65,0.78
screwdriver,-3.6,-52.43,-3.97,-0.4,-0.76,0.74
screwdriver,-95.03,330.2,-124.27,1.99,-0.84,1.41
handdriver,-2.99,168.15,15.63,-0.03,-0.12,0.93
screwdriver,5.13,-270.14,12.08,0.6,-0.86,0.02
screwdriver,-48.77,803.65,36.38,-1.82,-0.84,-0.7
handdriver,-20.45,219.24,8.48,-0.4,-0.09,0.74
handdriver,-21.42,85.39,2.08,-0.41,-0.04,0.84
screwdriver,-0.18,-16.78,71.59,-0.05,-0.96,0.56
handdriver,-0.98,-81.54,10.07,-0.58,-0.08,0.72
screwdriver,-189.82,265.87,-36.38,1.06,-0.45,-0.31
handdriver,-27.16,147.95,-0.85,-1.12,-0.21,0.72
handdriver,27.83,-340.33,0.85,-0.98,-0.14,0.43
screwdriver,40.28,-423.1,2.69,0.34,-0.96,0.02
screwdriver,-0.06,-79.59,3.17,-0.42,-0.57,0.72
screwdriver,24.48,-66.41,-0.61,0.81,-0.81,0.39
handdriver,21.67,-309.51,-3.66,-0.77,-0.15,0.65
handdriver,2.38,-33.45,7.81,-0.68,-0.08,0.63
handdriver,-4.09,-30.09,-1.22,-0.74,-0.15,0.67
handdriver,32.71,-131.35,11.23,-0.62,-0.21,0.91
screwdriver,-80.99,156.98,-32.78,0.95,-0.99,0.5
screwdriver,30.7,-192.5,38.94,-0.56,-0.94,0.46
screwdriver,14.04,-180.11,47.49,0.6,-0.45,0.42
handdriver,4.15,0.55,12.15,-0.67,-0.12,0.81
handdriver,-29.36,707.4,24.05,-0.63,-0.16,0.08
screwdriver,16.72,-328.06,16.78,-0.0,-0.81,0.82
screwdriver,92.35,-121.83,2.5,0.63,-0.67,0.27
screwdriver,-59.27,41.14,9.22,0.58,-0.58,0.42
handdriver,-18.86,137.45,6.59,-0.53,-0.04,0.72
screwdriver,70.19,-266.48,-6.35,0.56,-0.83,0.77
screwdriver,28.81,-280.7,-5.31,-0.07,-0.9,0.68
handdriver,-13.31,-61.58,0.12,-1.34,-0.28,0.43
screwdriver,28.93,-67.87,54.99,0.0,-1.0,0.05
handdriver,0.73,-17.46,8.0,-0.33,-0.17,0.93
screwdriver,4.21,-143.74,18.43,0.46,-0.67,0.41
handdriver,-15.63,88.93,-13.06,-0.58,-0.09,0.78
handdriver,14.83,-24.17,3.17,-0.65,-0.11,0.81
screwdriver,-30.7,236.02,7.26,0.8,-0.58,0.58
screwdriver,-4.21,-50.11,-5.68,0.37,-0.95,0.58
handdriver,2.01,50.48,23.25,-0.96,-0.17,0.71
handdriver,-0.12,-13.18,-9.09,-0.43,-0.02,0.84
screwdriver,59.2,-416.75,17.88,0.85,-0.59,0.59
handdriver,-38.57,48.52,-13.67,-0.79,-0.08,0.46
screwdriver,0.67,9.22,-5.8,-0.54,-0.65,0.64
screwdriver,36.07,-205.14,57.01,0.45,-0.84,0.15
screwdriver,2.38,-53.1,15.93,0.22,-0.63,0.7
handdriver,14.77,-350.28,-14.65,-1.04,-0.0,0.02
screwdriver,18.13,-307.92,-12.21,0.36,-0.85,0.13
handdriver,2.5,-131.96,2.08,-1.02,-0.11,0.3
screwdriver,-2.2,-4.46,7.2,0.35,-0.75,0.63
handdriver,-1.53,-17.64,5.92,-0.85,-0.06,0.55
screwdriver,1.46,98.39,36.25,-0.08,-0.74,0.29
screwdriver,8.97,-91.49,3.97,-0.41,-0.62,0.81
screwdriver,-53.28,59.45,-15.5,0.55,-0.65,0.68
handdriver,4.46,62.5,0.55,-0.53,-0.07,0.85
handdriver,5.68,-51.27,10.99,-0.46,-0.21,0.94
screwdriver,30.88,-512.45,-28.44,0.44,-0.86,0.15
screwdriver,-26.61,184.33,-2.01,0.64,-0.62,0.65
screwdriver,-3.85,-175.29,19.47,-0.09,-0.83,0.96
screwdriver,-22.34,95.28,28.93,-0.78,-1.06,-0.16
handdriver,6.16,-81.24,11.05,-0.86,-0.02,0.7
screwdriver,-20.45,-78.61,-43.15,0.87,-0.84,0.82
screwdriver,-10.8,91.74,1.04,0.99,-0.56,0.63
screwdriver,-5.55,-10.99,6.65,0.29,-0.75,0.61
screwdriver,100.1,-251.28,9.7,0.68,-0.7,-0.01
handdriver,7.69,-12.63,10.19,-0.49,-0.17,0.95
handdriver,-28.93,107.6,-0.79,-0.55,-0.06,0.78
screwdriver,-16.24,117.37,-17.09,0.12,-0.71,0.62
screwdriver,2.44,39.37,16.3,0.2,-0.91,0.15
handdriver,4.46,13.73,3.11,-0.68,-0.06,0.8
handdriver,12.33,-21.61,8.3,-0.7,0.0,0.84
handdriver,-0.31,-104.43,-6.71,-0.35,0.0,0.85
screwdriver,44.86,-202.15,-29.05,0.53,-0.85,-0.14
screwdriver,-25.76,62.01,-31.49,-0.03,-1.01,1.33
screwdriver,-18.13,-17.46,26.31,0.54,-0.46,0.52
handdriver,-6.96,50.84,8.97,-0.11,-0.06,0.83
screwdriver,-12.88,-23.74,-5.68,0.56,-0.87,0.8
screwdriver,-27.89,1.77,9.95,0.36,-0.84,0.55
handdriver,32.35,-444.09,-3.42,-0.94,-0.25,0.37
handdriver,-0.85,-29.91,9.28,-0.63,-0.06,0.87
handdriver,15.44,-6.16,11.05,-0.66,-0.18,0.93
handdriver,17.27,-45.41,5.31,-0.57,-0.07,0.89
screwdriver,31.8,-3.17,4.52,0.18,-0.64,0.97
screwdriver,-28.44,432.8,11.84,-0.32,-1.15,0.34
screwdriver,-9.83,-42.18,19.65,0.43,-0.55,0.63
screwdriver,11.72,-117.19,24.29,0.25,-0.59,1.07
handdriver,-28.69,445.86,28.56,-0.33,-0.12,0.62
handdriver,4.27,-40.28,5.74,-0.41,-0.1,1.07
handdriver,6.53,-33.14,13.55,-0.66,-0.08,0.94
handdriver,-17.4,274.35,9.83,-0.1,-0.08,0.78
handdriver,-15.01,-8.36,-4.52,-0.49,-0.15,0.71
handdriver,21.67,-100.1,6.53,-0.64,-0.05,0.83
handdriver,18.98,-79.22,7.32,-0.25,-0.16,0.89
screwdriver,-60.36,372.74,-18.86,0.88,-0.27,0.71
screwdriver,-37.23,523.8,-21.73,0.37,-1.06,1.1
screwdriver,4.21,-63.29,-26.06,0.81,-0.73,0.31
